127.0.0.1, 2020-05-15 14:12:11, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.011408
127.0.0.1, 2020-05-15 14:12:11, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.013325
127.0.0.1, 2020-05-15 14:12:11, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.030661
127.0.0.1, 2020-05-15 14:12:11, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.015171
127.0.0.1, 2020-05-15 14:12:11, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.031597
127.0.0.1, 2020-05-15 14:12:11, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000410
127.0.0.1, 2020-05-15 14:12:11, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.041013
127.0.0.1, 2020-05-15 14:12:11, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.000522
127.0.0.1, 2020-05-15 14:12:11, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000425
127.0.0.1, 2020-05-15 14:12:11, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.013540
127.0.0.1, 2020-05-15 14:12:11, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000600
127.0.0.1, 2020-05-15 14:12:11, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000391
127.0.0.1, 2020-05-15 14:12:26, GET, /admin/, HTTP/1.1, 200, 0.414904
127.0.0.1, 2020-05-15 14:12:26, GET, /admin/static/_2.20.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.083483
127.0.0.1, 2020-05-15 14:12:26, GET, /admin/static/_2.20.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.082802
127.0.0.1, 2020-05-15 14:12:26, GET, /admin/static/_2.20.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.085800
127.0.0.1, 2020-05-15 14:12:26, GET, /admin/static/_2.20.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.085393
127.0.0.1, 2020-05-15 14:12:26, GET, /admin/static/_2.20.4/images/questions.png, HTTP/1.1, 200, 0.212658
127.0.0.1, 2020-05-15 14:12:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000324
127.0.0.1, 2020-05-15 14:12:31, POST, /admin/default/index, HTTP/1.1, 303, 0.011601
127.0.0.1, 2020-05-15 14:12:31, GET, /admin/default/site, HTTP/1.1, 200, 0.094872
127.0.0.1, 2020-05-15 14:12:32, GET, /admin/static/_2.20.4/images/folder_locked.png, HTTP/1.1, 200, 0.000623
127.0.0.1, 2020-05-15 14:12:32, GET, /admin/static/_2.20.4/images/folder.png, HTTP/1.1, 200, 0.000577
